fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,symbol
2017-03-31,TWD,121489636000,233918370000,112428734000,112428734000,95352390000,5247603000,19412393000,26137246000,None,None,None,816664000,None,None,None,60172185000,97822499000,10201591000,None,87620908000,None,98647153000,158819338000,87628898000,TSM
2016-12-31,TWD,137109497000,262226289000,125116792000,125116792000,109860863000,5698653000,19960877000,27248634000,None,None,None,811428000,None,None,None,56437557000,112009795000,14322484000,None,331797300000,None,112800742000,169238299000,97666830000,TSM
2016-09-30,TWD,132050789000,260417602000,128366813000,128366813000,106262122000,5584814000,18724320000,25788667000,None,None,None,822667000,None,None,None,56268794000,108249615000,11460502000,None,0,None,109042225000,165311019000,96759056000,TSM
2021-09-30,USD,17881000000,31047000000,15536000000,None,10988000000,4294000000,None,6893000000,1815000000,13080000000,14480000000,1400000000,16567000000,None,None,1928000000,14111000000,2424000000,1400000000,11687000000,10080000000,15511000000,17439000000,11687000000,JPM
2021-06-30,USD,19727000000,31832000000,15382000000,None,12953000000,4204000000,None,6774000000,1847000000,12741000000,14094000000,1353000000,17738000000,None,None,2003000000,15097000000,3149000000,1353000000,11948000000,13477000000,16450000000,18453000000,11948000000,JPM
2021-03-31,USD,24269000000,33648000000,14569000000,None,17653000000,4385000000,None,6616000000,1882000000,12889000000,14271000000,1382000000,19377000000,None,None,2070000000,17697000000,3397000000,1382000000,14300000000,7355000000,19079000000,21149000000,14300000000,JPM
2020-12-31,USD,26948000000,30516000000,14159000000,None,19936000000,4492000000,None,7012000000,1923000000,13258000000,14550000000,1292000000,15966000000,None,None,2127000000,15065000000,2929000000,1292000000,12136000000,11182000000,16357000000,18484000000,12136000000,JPM
2020-09-30,USD,13453000000,30834000000,17486000000,None,6575000000,4176000000,None,6878000000,2110000000,13013000000,14700000000,1687000000,16242000000,None,None,2141000000,11661000000,2326000000,1687000000,9443000000,9594000000,13348000000,15489000000,9443000000,JPM
2020-06-30,USD,-2451000000,35239000000,27415000000,None,-8719000000,4151000000,None,6268000000,2461000000,13853000000,16112000000,2259000000,19222000000,None,None,2149000000,5565000000,973000000,2259000000,4687000000,6058000000,7824000000,None,4687000000,JPM
2020-03-31,USD,-2528000000,33008000000,25135000000,None,-9256000000,4503000000,None,6728000000,2533000000,14439000000,19161000000,4722000000,13847000000,None,None,2197000000,3210000000,345000000,4722000000,2865000000,8714000000,7932000000,None,2865000000,JPM
2019-12-31,USD,7444000000,34046000000,17766000000,None,415000000,4562000000,None,7029000000,2558000000,14166000000,19927000000,5761000000,14119000000,None,None,2139000000,10565000000,2045000000,5761000000,8520000000,8289000000,16326000000,None,8520000000,JPM
2019-09-30,USD,12355000000,36184000000,17936000000,None,5740000000,4549000000,None,6615000000,2450000000,14228000000,21121000000,6893000000,15063000000,None,None,2145000000,11405000000,2325000000,6893000000,9080000000,9766000000,18298000000,None,9080000000,JPM
2019-06-30,USD,11271000000,35952000000,17490000000,None,4690000000,4300000000,None,6581000000,2215000000,14398000000,21603000000,7205000000,14349000000,None,None,2046000000,11342000000,1690000000,7205000000,9652000000,11324000000,18547000000,None,9652000000,JPM
2019-03-31,USD,10744000000,36059000000,17890000000,None,4475000000,4311000000,None,6269000000,2068000000,14453000000,21389000000,6936000000,14670000000,None,None,2038000000,11233000000,2054000000,7441000000,9179000000,10128000000,18169000000,None,9179000000,JPM
2018-12-31,USD,8938000000,32110000000,17268000000,8232000000,821000000,5966000000,None,8117000000,1951000000,14354000000,20601000000,6247000000,11509000000,None,None,2075000000,8841000000,1775000000,6684000000,7066000000,7984000000,15088000000,None,7066000000,JPM
2018-09-30,USD,10773000000,32791000000,16571000000,6880000000,4636000000,4031000000,None,6137000000,1796000000,13908000000,19439000000,5531000000,13352000000,None,None,1992000000,10689000000,2309000000,5932000000,8380000000,7093000000,16220000000,None,8380000000,JPM
2018-06-30,USD,10474000000,32834000000,17181000000,852000000,-3937000000,12285000000,None,14411000000,1778000000,13485000000,18566000000,5081000000,14268000000,None,852000000,1927000000,10572000000,2256000000,5384000000,8316000000,8241000000,15653000000,None,8316000000,JPM
2018-03-31,USD,10544000000,32290000000,17245000000,811000000,-4251000000,12674000000,None,14795000000,1723000000,13312000000,17695000000,4383000000,14595000000,None,811000000,1797000000,10662000000,1950000000,4383000000,8712000000,7680000000,15045000000,None,8712000000,JPM
2017-12-31,USD,9611000000,28022000000,15899000000,5274000000,-4865000000,12528000000,None,14476000000,1787000000,13027000000,16592000000,3565000000,11430000000,None,None,1632000000,8254000000,4022000000,3966000000,4232000000,4422000000,11819000000,None,4232000000,JPM
2017-09-30,USD,9032000000,29467000000,15770000000,5341000000,-3824000000,11151000000,None,12856000000,1818000000,12798000000,16687000000,3889000000,12780000000,None,None,1579000000,9556000000,2824000000,3889000000,6732000000,6815000000,13445000000,None,6732000000,JPM
2017-06-30,USD,9407000000,29173000000,15721000000,4657000000,-3542000000,11305000000,None,12949000000,1889000000,12208000000,15650000000,3442000000,13523000000,None,None,1504000000,9749000000,2720000000,3442000000,7029000000,7560000000,13191000000,None,7029000000,JPM
2017-03-31,USD,7850000000,27917000000,16334000000,4293000000,-5614000000,11921000000,None,13464000000,1888000000,12064000000,15042000000,2978000000,12875000000,None,None,1464000000,8341000000,1893000000,2978000000,6448000000,6700000000,11319000000,None,6448000000,JPM
2016-12-31,USD,11202000000,26990000000,14697000000,3577000000,-2737000000,12197000000,None,13939000000,1796000000,11753000000,14466000000,2713000000,12524000000,None,None,1446000000,8679000000,1952000000,2713000000,6727000000,4078000000,11392000000,None,6727000000,JPM
2021-09-30,USD,4695000000,6616000000,1921000000,1239000000,4315000000,672000000,None,874000000,None,-125000000,-17000000,125000000,6741000000,108000000,None,202000000,4298000000,714000000,None,3584000000,3419000000,4315000000,4517000000,3584000000,V
2021-06-30,USD,4225000000,5999000000,1774000000,1284000000,4064000000,472000000,None,676000000,None,-131000000,-131000000,131000000,6130000000,456000000,None,204000000,4389000000,1814000000,None,2575000000,2804000000,4064000000,4268000000,2575000000,V
2021-03-31,USD,3724000000,5608000000,1884000000,1293000000,3581000000,569000000,None,770000000,None,-121000000,-121000000,121000000,5729000000,168000000,None,201000000,3628000000,602000000,None,3026000000,2244000000,3581000000,3782000000,3026000000,V
2020-12-31,USD,3965000000,5551000000,1586000000,1154000000,3844000000,408000000,None,605000000,None,-136000000,-136000000,136000000,5687000000,40000000,None,197000000,3748000000,622000000,None,3126000000,3926000000,3844000000,4041000000,3126000000,V
2020-09-30,USD,3805000000,5467000000,1662000000,1113000000,3142000000,544000000,None,740000000,None,-145000000,-145000000,145000000,-16596000000,58000000,None,196000000,3055000000,918000000,None,2137000000,2770000000,3142000000,3338000000,2137000000,V
2020-06-30,USD,3125000000,4695000000,1570000000,1113000000,2999000000,432000000,None,629000000,None,-142000000,-142000000,142000000,4837000000,75000000,None,197000000,2932000000,559000000,None,2373000000,2538000000,2999000000,3196000000,2373000000,V
2020-03-31,USD,4101000000,5737000000,1636000000,1123000000,3924000000,504000000,None,696000000,None,-118000000,-118000000,118000000,5855000000,23000000,None,192000000,3829000000,745000000,None,3084000000,2980000000,3924000000,4116000000,3084000000,V
2019-12-31,USD,4196000000,5947000000,1751000000,1163000000,4016000000,587000000,None,769000000,None,-111000000,-111000000,111000000,6058000000,69000000,None,182000000,3974000000,702000000,None,3272000000,3607000000,4016000000,4198000000,3272000000,V
2019-09-30,USD,4447000000,6137000000,1690000000,1064000000,3735000000,647000000,None,819000000,None,-120000000,-120000000,120000000,80000000,96000000,None,172000000,3711000000,686000000,None,3025000000,2265000000,3735000000,3907000000,3025000000,V
2019-06-30,USD,4206000000,5840000000,1634000000,1056000000,3908000000,597000000,None,762000000,None,-128000000,-128000000,128000000,1000000,86000000,None,165000000,3866000000,765000000,None,3101000000,3297000000,3908000000,4073000000,3101000000,V
2019-03-31,USD,3935000000,5494000000,1559000000,1065000000,3641000000,505000000,None,665000000,None,-140000000,-140000000,140000000,15000000,176000000,None,160000000,3677000000,700000000,None,2977000000,2616000000,3641000000,3801000000,2977000000,V
2018-12-31,USD,3988000000,5506000000,1518000000,980000000,3717000000,552000000,None,711000000,None,-145000000,None,145000000,5506000000,58000000,None,159000000,3630000000,653000000,None,2977000000,2698000000,3717000000,3876000000,2977000000,V
2018-09-30,USD,1380000000,5434000000,4054000000,1003000000,3406000000,721000000,None,884000000,None,-150000000,None,150000000,None,282000000,None,163000000,3538000000,693000000,None,2845000000,2651000000,3406000000,3569000000,2845000000,V
2018-06-30,USD,4618000000,5240000000,622000000,1021000000,2885000000,470000000,None,622000000,None,-155000000,None,155000000,None,82000000,None,152000000,2812000000,483000000,None,2329000000,1342000000,2885000000,3037000000,2329000000,V
2018-03-31,USD,4437000000,5073000000,636000000,993000000,3336000000,483000000,None,636000000,None,-153000000,None,153000000,None,34000000,None,153000000,3217000000,612000000,None,2605000000,3130000000,3336000000,3489000000,2605000000,V
2017-12-31,USD,4258000000,4862000000,604000000,839000000,3327000000,459000000,None,604000000,None,-154000000,None,154000000,None,66000000,None,145000000,3239000000,717000000,None,2522000000,2847000000,3327000000,3472000000,2522000000,V
2017-09-30,USD,4180000000,4855000000,675000000,822000000,3212000000,528000000,None,675000000,None,-148000000,None,148000000,None,35000000,None,147000000,3099000000,959000000,None,2140000000,2900000000,3212000000,3359000000,2140000000,V
2017-06-30,USD,3982000000,4565000000,583000000,856000000,3024000000,451000000,None,583000000,None,-140000000,None,140000000,None,30000000,None,132000000,2914000000,855000000,None,2059000000,3157000000,3024000000,3156000000,2059000000,V
2017-03-31,USD,3747000000,4477000000,730000000,854000000,2808000000,599000000,None,730000000,None,-135000000,None,135000000,None,29000000,None,131000000,2702000000,2272000000,None,430000000,819000000,2808000000,2939000000,430000000,V
2016-12-31,USD,3911000000,4461000000,550000000,716000000,3100000000,404000000,None,550000000,None,-140000000,None,140000000,None,19000000,None,146000000,2979000000,909000000,None,2070000000,1159000000,3100000000,3246000000,2070000000,V
2021-09-30,USD,16088000000,23318000000,14410000000,7250000000,4606000000,6000000000,4322000000,11482000000,13000000,-20000000,13000000,20000000,23338000000,-1850000000,None,1100000000,3849000000,182000000,20000000,3667000000,3352000000,3869000000,4969000000,3667000000,JNJ
2021-06-30,USD,15725000000,23272000000,14916000000,7587000000,5002000000,6073000000,3394000000,10723000000,12000000,-40000000,12000000,40000000,23312000000,488000000,None,1200000000,6662000000,384000000,40000000,6278000000,6506000000,6702000000,7902000000,6278000000,JNJ
2021-03-31,USD,15258000000,22258000000,13762000000,7063000000,5394000000,5432000000,3178000000,9864000000,15000000,-63000000,15000000,63000000,22321000000,882000000,None,1200000000,7429000000,1232000000,63000000,6197000000,6111000000,7492000000,8692000000,6197000000,JNJ
2020-12-31,USD,14661000000,22475000000,7814000000,7814000000,4172000000,6457000000,4032000000,10489000000,None,-74000000,13000000,87000000,None,-2354000000,None,1940000000,1647000000,-91000000,None,1738000000,None,1734000000,3674000000,1738000000,JNJ
2020-09-30,USD,14110000000,21038000000,13671000000,6972000000,4433000000,5431000000,2978000000,9677000000,12000000,-44000000,12000000,44000000,21082000000,-1200000000,None,1200000000,4401000000,847000000,44000000,3554000000,4149000000,4445000000,5645000000,3554000000,JNJ
2020-06-30,USD,11757000000,18291000000,12733000000,6579000000,2890000000,4993000000,2713000000,8867000000,19000000,-45000000,19000000,45000000,18336000000,-24000000,None,1100000000,3940000000,314000000,45000000,3626000000,4336000000,3985000000,5085000000,3626000000,JNJ
2020-03-31,USD,13629000000,20666000000,13434000000,7062000000,4655000000,5203000000,2580000000,8974000000,67000000,-25000000,67000000,25000000,20691000000,679000000,None,1100000000,6509000000,713000000,25000000,5796000000,5444000000,6534000000,7634000000,5796000000,JNJ
2019-12-31,USD,13613000000,20747000000,341000000,7134000000,13008000000,6039000000,3232000000,605000000,81000000,-85000000,81000000,85000000,20747000000,-16000000,None,1200000000,4218000000,208000000,85000000,4218000000,4218000000,4303000000,5503000000,4010000000,JNJ
2019-09-30,USD,13862000000,20681000000,13410000000,6867000000,4720000000,5374000000,2599000000,9142000000,89000000,-48000000,89000000,48000000,20729000000,-4214000000,None,1100000000,1647000000,-106000000,48000000,1753000000,1189000000,1695000000,2795000000,1753000000,JNJ
2019-06-30,USD,13622000000,20479000000,13643000000,6940000000,4253000000,5546000000,2666000000,9369000000,88000000,-83000000,88000000,83000000,20562000000,1683000000,None,1100000000,7041000000,1434000000,83000000,5607000000,6155000000,7124000000,8224000000,5607000000,JNJ
2019-03-31,USD,13406000000,19919000000,13883000000,6615000000,2393000000,5219000000,3748000000,11013000000,99000000,-102000000,99000000,102000000,20021000000,22000000,None,1100000000,4422000000,673000000,102000000,3749000000,3454000000,4524000000,5624000000,3749000000,JNJ
2018-12-31,USD,13433000000,20394000000,227000000,6961000000,11918000000,5991000000,3224000000,1515000000,196000000,-250000000,None,250000000,20394000000,-978000000,None,1100000000,3122000000,80000000,250000000,1222000000,1222000000,3372000000,4472000000,3042000000,JNJ
2018-09-30,USD,13759000000,20105000000,12220000000,6589000000,4494000000,5543000000,3634000000,9265000000,175000000,-243000000,None,243000000,20348000000,-3000000,None,1100000000,4423000000,489000000,243000000,3934000000,4064000000,4666000000,5766000000,3934000000,JNJ
2018-06-30,USD,13903000000,20830000000,176000000,6927000000,13024000000,5743000000,2639000000,879000000,126000000,-253000000,None,253000000,20830000000,-364000000,None,1100000000,4973000000,1019000000,253000000,4973000000,1785000000,5226000000,6326000000,3954000000,JNJ
2018-03-31,USD,13395000000,20009000000,13019000000,6614000000,13395000000,5263000000,2404000000,8789000000,114000000,-259000000,None,259000000,20009000000,-60000000,None,1100000000,5481000000,1114000000,259000000,5481000000,5190000000,5740000000,6840000000,4367000000,JNJ
2017-12-31,USD,12936000000,20195000000,217000000,7259000000,11682000000,6045000000,408000000,1270000000,85000000,-274000000,None,274000000,20195000000,53000000,None,1100000000,2560000000,13273000000,274000000,2560000000,2560000000,2834000000,3934000000,-10713000000,JNJ
2017-09-30,USD,12725000000,19650000000,12417000000,6925000000,12630000000,5423000000,2585000000,118000000,74000000,-229000000,None,229000000,19650000000,297000000,None,1100000000,4790000000,1026000000,229000000,4790000000,4251000000,5019000000,6119000000,3764000000,JNJ
2017-06-30,USD,12993000000,18839000000,11146000000,5846000000,12523000000,5289000000,2296000000,493000000,105000000,-227000000,None,227000000,18839000000,-527000000,None,500000000,4748000000,921000000,227000000,4748000000,5115000000,4975000000,5475000000,3827000000,JNJ
2017-03-31,USD,12357000000,17766000000,10594000000,5409000000,12380000000,4763000000,2070000000,7242000000,121000000,-204000000,None,204000000,17766000000,219000000,None,300000000,5575000000,1153000000,204000000,5575000000,4801000000,5779000000,6079000000,4422000000,JNJ
2016-12-31,USD,12572000000,18106000000,12413000000,6508000000,12476000000,5431000000,2640000000,96000000,100000000,-184000000,None,184000000,None,254000000,None,305000000,4324000000,510000000,184000000,4324000000,4324000000,4508000000,4813000000,3814000000,JNJ
2021-09-30,USD,53014000000,72337000000,19323000000,7802000000,5712000000,10725000000,None,11521000000,503000000,-422000000,-422000000,422000000,56967000000,None,None,796000000,5185000000,1099000000,422000000,4191000000,3316000000,5607000000,6403000000,4086000000,UNH
2021-06-30,USD,52524000000,71321000000,18797000000,7660000000,5978000000,10359000000,None,11137000000,556000000,-410000000,-410000000,410000000,56233000000,None,None,778000000,5462000000,1196000000,410000000,4372000000,5006000000,5872000000,6650000000,4266000000,UNH
2021-03-31,USD,51643000000,70196000000,18553000000,7572000000,6739000000,10223000000,None,10981000000,452000000,-397000000,-397000000,397000000,55486000000,None,None,758000000,6226000000,1364000000,397000000,4978000000,3850000000,6623000000,7381000000,4862000000,UNH
2020-12-31,USD,45599000000,65467000000,19868000000,7622000000,3517000000,11514000000,None,12246000000,445000000,-401000000,-401000000,401000000,50581000000,None,None,732000000,2976000000,764000000,401000000,2352000000,2892000000,3377000000,4109000000,2212000000,UNH
2020-09-30,USD,46287000000,65115000000,18828000000,7935000000,4651000000,10174000000,None,10893000000,351000000,-395000000,-395000000,395000000,50863000000,None,None,719000000,4172000000,1000000000,395000000,3256000000,3228000000,4567000000,5286000000,3172000000,UNH
2020-06-30,USD,43919000000,62138000000,18219000000,7501000000,9241000000,10001000000,None,10718000000,341000000,-430000000,-430000000,430000000,49394000000,None,None,717000000,8752000000,2115000000,430000000,6696000000,7447000000,9182000000,9899000000,6637000000,UNH
2020-03-31,USD,45996000000,64421000000,18425000000,7687000000,4996000000,10015000000,None,10738000000,365000000,-437000000,-437000000,437000000,50640000000,None,None,723000000,4476000000,1094000000,437000000,3465000000,1600000000,4913000000,5636000000,3382000000,UNH
2019-12-31,USD,44371000000,60901000000,16530000000,6511000000,5095000000,9301000000,None,10019000000,433000000,-437000000,-437000000,437000000,47625000000,None,None,718000000,4531000000,990000000,437000000,3668000000,3672000000,4968000000,5686000000,3541000000,UNH
2019-09-30,USD,44055000000,60351000000,16296000000,6627000000,5014000000,8960000000,None,9669000000,466000000,-449000000,-449000000,449000000,47397000000,None,None,709000000,4474000000,936000000,449000000,3629000000,3102000000,4923000000,5632000000,3538000000,UNH
2019-06-30,USD,43928000000,60595000000,16667000000,7598000000,4744000000,8415000000,None,9069000000,582000000,-418000000,-418000000,418000000,47164000000,None,None,654000000,4234000000,941000000,418000000,3385000000,3778000000,4652000000,5306000000,3293000000,UNH
2019-03-31,USD,43771000000,60308000000,16537000000,7381000000,4832000000,8517000000,None,9156000000,405000000,-400000000,None,400000000,47513000000,None,None,639000000,4342000000,875000000,400000000,3557000000,3869000000,4742000000,5381000000,3467000000,UNH
2018-12-31,USD,41452000000,58417000000,16965000000,7625000000,4497000000,8703000000,None,9340000000,341000000,-374000000,None,374000000,44932000000,None,None,637000000,3999000000,959000000,374000000,3164000000,3266000000,4373000000,5010000000,3040000000,UNH
2018-09-30,USD,40748000000,56556000000,15808000000,6718000000,4590000000,8479000000,None,9090000000,382000000,-353000000,None,353000000,44613000000,None,None,611000000,4141000000,953000000,353000000,3284000000,2882000000,4494000000,5105000000,3188000000,UNH
2018-06-30,USD,40631000000,56086000000,15455000000,6471000000,4204000000,8386000000,None,8984000000,355000000,-344000000,None,344000000,44458000000,None,None,598000000,3772000000,850000000,344000000,3010000000,1793000000,4116000000,4714000000,2922000000,UNH
2018-03-31,USD,39916000000,55188000000,15272000000,6184000000,4053000000,8506000000,None,9088000000,298000000,-329000000,None,329000000,44084000000,None,None,582000000,3636000000,800000000,329000000,2924000000,2528000000,3965000000,4547000000,2836000000,UNH
2017-12-31,USD,37184000000,52061000000,14877000000,6479000000,3977000000,7820000000,None,8398000000,298000000,-308000000,None,308000000,40378000000,None,None,578000000,3565000000,-52000000,308000000,3721000000,3303000000,3873000000,4451000000,3617000000,UNH
2017-09-30,USD,36289000000,50322000000,14033000000,6068000000,4088000000,7387000000,None,7965000000,247000000,-294000000,None,294000000,39552000000,None,None,578000000,3718000000,1233000000,294000000,2561000000,2723000000,4012000000,4590000000,2485000000,UNH
2017-06-30,USD,36280000000,50053000000,13773000000,5889000000,3731000000,7328000000,None,7884000000,256000000,-301000000,None,301000000,39585000000,None,None,556000000,3364000000,1080000000,301000000,2350000000,2140000000,3665000000,4221000000,2284000000,UNH
2017-03-31,USD,35492000000,48723000000,13231000000,5676000000,3413000000,7022000000,None,7555000000,222000000,-283000000,None,283000000,38938000000,None,None,533000000,3111000000,939000000,283000000,2191000000,2406000000,3394000000,3927000000,2172000000,UNH
2016-12-31,USD,32883000000,47535000000,14652000000,6308000000,3187000000,7817000000,None,8344000000,261000000,-268000000,None,268000000,36752000000,None,None,527000000,2895000000,1211000000,268000000,1708000000,1306000000,3163000000,3690000000,1684000000,UNH
2021-10-31,USD,12563000000,36820000000,24257000000,None,5795000000,6168000000,None,6768000000,15000000,-341000000,None,341000000,36820000000,None,None,600000000,5469000000,1340000000,341000000,4129000000,4112000000,5810000000,6410000000,4129000000,HD
2021-08-01,USD,13665000000,41118000000,27453000000,None,6639000000,6433000000,None,7026000000,5000000,-326000000,None,326000000,41118000000,None,None,593000000,6318000000,1511000000,326000000,4807000000,4830000000,6644000000,7237000000,4807000000,HD
2021-05-02,USD,12742000000,37500000000,24758000000,None,5781000000,6374000000,None,6961000000,6000000,-339000000,None,339000000,37500000000,None,None,587000000,5448000000,1303000000,339000000,4145000000,4208000000,5787000000,6374000000,4145000000,HD
2021-01-31,USD,10831000000,32261000000,21430000000,None,4083000000,6187000000,None,6748000000,None,-337000000,None,337000000,32261000000,None,None,561000000,3756000000,899000000,337000000,2857000000,3151000000,4093000000,4654000000,2857000000,HD
2020-11-01,USD,11456000000,33536000000,22080000000,None,4852000000,6076000000,None,6604000000,11000000,-340000000,None,340000000,33536000000,None,None,528000000,4523000000,1091000000,340000000,3432000000,3479000000,4863000000,5391000000,3432000000,HD
2020-08-02,USD,12941000000,38053000000,25112000000,None,6067000000,6355000000,None,6874000000,9000000,-346000000,None,346000000,38053000000,None,None,519000000,5730000000,1398000000,346000000,4332000000,4468000000,6076000000,6595000000,4332000000,HD
2020-05-03,USD,9625000000,28260000000,18635000000,None,3276000000,5829000000,None,6349000000,17000000,-324000000,None,324000000,28260000000,None,None,520000000,2969000000,724000000,324000000,2245000000,1836000000,3293000000,3813000000,2245000000,HD
2020-02-02,USD,8736000000,25782000000,17046000000,None,3403000000,4814000000,None,5333000000,None,-309000000,None,309000000,25782000000,None,None,519000000,3111000000,630000000,309000000,2481000000,2543000000,3420000000,3939000000,2481000000,HD
2019-11-03,USD,9387000000,27223000000,17836000000,None,3947000000,4942000000,None,5440000000,22000000,-302000000,None,302000000,27223000000,None,None,498000000,3667000000,898000000,302000000,9387000000,2744000000,3969000000,4467000000,2769000000,HD
2019-08-04,USD,10432000000,30839000000,20407000000,None,4896000000,5044000000,None,5536000000,19000000,-302000000,None,302000000,30839000000,None,None,492000000,4613000000,1134000000,302000000,10432000000,3538000000,4915000000,5407000000,3479000000,HD
2019-05-05,USD,9017000000,26381000000,17364000000,None,3597000000,4940000000,None,5420000000,15000000,-288000000,None,288000000,26381000000,None,None,480000000,3324000000,811000000,288000000,9017000000,2481000000,3612000000,4092000000,2513000000,HD
2019-02-03,USD,9027000000,26491000000,17464000000,None,3378000000,4922000000,None,5649000000,None,-269000000,None,269000000,26491000000,None,None,480000000,3113000000,769000000,269000000,9027000000,2289000000,3382000000,3862000000,2344000000,HD
2018-10-28,USD,9151000000,26302000000,17151000000,None,3870000000,4808000000,None,5281000000,25000000,-249000000,None,249000000,26302000000,None,None,473000000,3646000000,779000000,249000000,2867000000,2924000000,3895000000,4368000000,2867000000,HD
2018-07-29,USD,10365000000,30463000000,20098000000,None,4901000000,5004000000,None,5464000000,26000000,-272000000,None,272000000,30463000000,None,None,460000000,4655000000,1149000000,272000000,3506000000,3328000000,4927000000,5387000000,3506000000,HD
2018-04-29,USD,8617000000,24947000000,16330000000,None,3381000000,4779000000,None,5236000000,22000000,-261000000,None,261000000,24947000000,None,None,457000000,3142000000,738000000,261000000,2404000000,2374000000,3403000000,3860000000,2404000000,HD
2018-01-28,USD,8093000000,23883000000,15790000000,None,3189000000,4440000000,None,4904000000,None,-269000000,None,269000000,23883000000,None,None,464000000,2943000000,1164000000,269000000,8093000000,1842000000,3212000000,3676000000,1779000000,HD
2017-10-29,USD,8648000000,25026000000,16378000000,None,3680000000,4514000000,None,4968000000,22000000,-269000000,None,269000000,25026000000,None,None,454000000,3433000000,1268000000,269000000,2165000000,2018000000,3702000000,4156000000,2165000000,HD
2017-07-30,USD,9461000000,28108000000,18647000000,None,4463000000,4549000000,None,4998000000,16000000,-265000000,None,265000000,28108000000,None,None,449000000,4214000000,1542000000,265000000,2672000000,3113000000,4479000000,4928000000,2672000000,HD
2017-04-30,USD,8154000000,23887000000,15733000000,None,3349000000,4361000000,None,4805000000,13000000,-254000000,None,254000000,23887000000,None,None,444000000,3108000000,1094000000,254000000,2014000000,1958000000,3362000000,3806000000,2014000000,HD
2017-01-29,USD,7553000000,22207000000,14654000000,None,2927000000,4183000000,None,4626000000,None,-246000000,None,246000000,None,None,None,443000000,2692000000,948000000,246000000,7553000000,1760000000,2938000000,3381000000,1744000000,HD
2021-07-31,USD,1221184000,1758853000,537669000,537669000,609646000,206076000,306617000,611538000,300000,-44659000,300000,44659000,1758853000,6991000,50162000,196151000,572278000,68967000,44659000,503311000,461283000,616937000,813088000,503311000,ADI
2021-05-01,USD,1136637000,1661407000,524770000,524770000,519690000,206612000,302238000,616947000,290000,-43066000,290000,43066000,1661407000,-929000,52466000,145701000,475985000,53080000,43066000,422905000,458491000,519051000,664752000,422905000,ADI
2021-01-30,USD,1045371000,1558458000,513087000,513087000,463860000,185275000,288150000,581511000,209000,-42479000,209000,42479000,1558458000,15028000,56309000,145044000,436618000,48099000,42479000,388519000,419479000,479097000,624141000,388519000,ADI
2020-10-31,USD,1023084000,2815703000,1792619000,503211000,461672000,165115000,280239000,561412000,527000,-48593000,527000,48593000,1526295000,3704000,57053000,145163000,417310000,30784000,48593000,386526000,409994000,465903000,611066000,386526000,ADI
2020-08-01,USD,972578000,1456136000,483558000,483558000,419124000,153753000,260794000,553454000,504000,-45914000,504000,45914000,1456136000,-685000,57598000,143865000,373029000,10364000,45914000,362665000,366738000,418943000,562808000,362665000,ADI
2020-05-02,USD,846674000,1317060000,470386000,470386000,344020000,141775000,252413000,502654000,1334000,-49985000,1334000,49985000,1317060000,-308000,59261000,144051000,295061000,27365000,49985000,267696000,192841000,345046000,489097000,267696000,ADI
2020-02-01,USD,848142000,1303565000,455423000,455423000,273428000,199280000,257073000,574714000,1940000,-48813000,1940000,48813000,1303565000,-338000,59863000,144069000,226217000,22343000,48813000,203874000,191905000,275030000,419099000,203874000,ADI
2019-11-02,USD,942191000,1392444000,1815355000,501028000,338361000,154799000,277018000,603830000,1988000,-50775000,1988000,50775000,1443219000,-1747000,61636000,143528000,287827000,10133000,50775000,277694000,243568000,338602000,482130000,277694000,ADI
2019-08-03,USD,997811000,1480143000,482332000,482332000,446726000,162825000,280102000,551085000,2625000,-59871000,2625000,59871000,1480143000,78000,61606000,142521000,389558000,27184000,59871000,362374000,304722000,449429000,591950000,362374000,ADI
2019-05-04,USD,1034092000,1526602000,492510000,492510000,469695000,163128000,285846000,564397000,2928000,-59701000,2928000,59701000,1526602000,-4525000,59142000,142233000,408397000,40460000,59701000,367937000,349937000,468098000,610331000,367937000,ADI
2019-02-02,USD,1039656000,1541101000,501445000,501445000,455826000,167342000,287382000,583830000,2688000,-58728000,None,58728000,1541101000,160000,58293000,142292000,399946000,44940000,58728000,355006000,335425000,458674000,600966000,355006000,ADI
2018-11-03,USD,1045543000,1596586000,551043000,490585000,465451000,175296000,295609000,580092000,2791000,-59102000,None,59102000,1536128000,196000,58874000,142316000,409336000,4481000,59102000,404855000,411881000,468438000,610754000,404855000,ADI
2018-08-04,USD,1060632000,1572679000,497631000,497557000,489215000,171388000,291551000,571417000,2588000,-61665000,None,61665000,1558189000,368000,56647000,143218000,430506000,21949000,61665000,414464000,396102000,492171000,635389000,408557000,ADI
2018-05-05,USD,1072464000,1513053000,491112000,491038000,502818000,172047000,289381000,569646000,1912000,-64792000,None,64792000,1563502000,187000,56589000,142954000,440125000,39797000,64792000,379831000,391674000,504917000,647871000,400328000,ADI
